SMILES,zincID,zincprotonationID
C[C@@H](c1[n-]nnn1)NS(=O)(=O)c2ccnc(c2)N,C50672623,P75790839
c1cc(c(cc1[N+](=O)[O-])C#N)NC(=O)/C(=N/c2nc([nH]n2)N)/[O-],C08653513,P114072912
c1c(ncnc1N2CCOCC2)NC(=O)c3c[nH]c(nc3=O)[O-],C77197205,P120430889
c1cc(c(cc1NC(=O)[C@H]2CC=CC[C@H]2C(=O)O)[N+](=O)[O-])S(=O)(=O)[O-],C39899391,P60531610
C1CCC(C1)NS(=O)(=O)[O-],C02535430,P59251453
Cc1c(c(no1)[O-])[C@@H](C)N,C75528571,P117569207
[H]/N=C(/C[O-])\OCC,C39218347,P96222874
c1nncn1C2CC(C2)[O-],C84444146,P132137549
COC(=O)c1c(n[n-]n1)C#N,C39057593,P59176389
c1c(c2c(cc(c(c2nc1C(F)(F)F)F)F)F)NN,C61122555,P93550850
c1cc(c(cc1N)F)C(=O)Nc2ccc3c(c2)CCC3,C43570633,P65880023
c1cc(c(cc1NC(=O)C2(CCC2)N)Br)Cl,C88051559,P137722451
CC1=[NH+][C@@H](C(=[NH2+])N1C(C)(C)C)c2c(cccc2F)F,C50987117,P76323780
c1ccc2c(c1)[nH]c(n2)S[C@H]3CCCCC[C@@H]3N,C81862436,P127686060
C1C=NSO1,C96328861,P151972915
C1C(CO1)NC2COC2,C87195231,P136441213
c1csc(n1)NC#N,C13638831,P20997998
C1C[NH+](CC[N-]1)CC=O,C38841834,P138006546
Cc1cn2c(n1)CCC2,C26507005,P39111241
C[C@H]1CO[C@H](CN1)CO,C78210744,P121970764
C[C@@H]1C[C@@H](CC[NH2+]1)[S-],C59349464,P90232421
C1COCCN1N,C19167814,P28311261
C1C[C@H]([C@@H]1C(F)(F)F)N,C57219007,P85902531
C[C@@H](C#C)N,C38462343,P98299594
c1cc(sc1)[C@@H](c2ccc(c(c2)F)Br)O,C43577843,P65890360
c1cc2c(cc1Br)c3c([nH]2)c(=O)ccs3,C59944113,P91436761
c1c(c(cs1)Br)[C@@H]([C@@H]2CCCCS2)O,C87704190,P137181455
c1cc(c(cc1F)Cl)[C@H](c2cscc2Br)O,C86554464,P135497490
c1cc(ccc1[C@@H](c2cscc2Br)O)F,C86553719,P135496742
c1c(nc[nH]1)/C=C\C(=O)[O-],C13524067,P57495345
C/C(=N\N=C(\N)/[NH-])/CCl,C16970191,P151059661
C1=NC2=NON[C@H]2C(=N1)[O-],C39053638,P151021765
C[C@@H](c1nnc(o1)[O-])N,C84324627,P131957475
Cc1c([n-]nn1)C(=O)NN,C39064082,P59188452
CNC(=O)NCC(=O)N(CCN(C)Cc1ccccc1)Cc2ccccc2,C90059986,P140757423
Cc1ccc2cc(c(=O)[nH]c2c1)CN(C[C@@H]3CCCO3)C(=S)NCCOC,C04131681,P18367370
CCO[C@@H](C)C(=O)Nc1c(c2c(s1)CCCC2)C(=O)NCCCOC,C75881731,P118270882
CCCOC(=O)CCC(=O)NC(=S)Nc1c(c2c(s1)CCC2)C#N,C08563700,P13065451
Cc1ccnn1CCCNC(=S)Nc2cnn(c2)Cc3ccccc3F,C02803054,P10910415
c1nnc(s1)CC#N,C70426651,P108596818
C/N=C\c1ccncc1,C32150073,P112220144
CS,C98222268,P156212933
C1C=NN[C@@H]1C#N,C95709654,P150531555
C[NH+](C)C#C/C=C\C=O,C39073690,P59199690
C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)[O-])NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+],C98229810,P156227813
C[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)[O-])NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)[NH3+],C98229811,P156227814
C[C@H]([C@H](c1ccoc1)N)O,C95659372,P150431950
C([C@@H]1[C@H]2[C@H](N2)[C@H]([C@@H]1O)O)O,C36466197,P54208659
C(CO)[C@@H](c1nc(no1)N)N,C83811873,P131111313
c1cn(cn1)CC(=O)NCCN,C40605671,P61647454
C1COC[C@@H]1[C@@H](c2[n-]nnn2)[NH3+],C40397159,P61322391
CN1C(=O)/C(=C/c2ccc(cc2)Br)/NC1=S,C09189140,P14087785
CS(=O)(=O)Nc1cccc(c1)I,C32627949,P48328589
c1cc(c(c2c1[nH]c(=S)n2[C@H]3CCN4[C@@H]3CCC4)F)F,C53169156,P79729840
C[C@@H]1CN[C@H](CN1C(=O)c2c(c(c(c(c2F)F)F)F)F)C,C86467356,P135374857
C#CC[C@H](c1cc2c(c(c1)Br)OCCCO2)O,C68869962,P105741564
CCN[C@@H]1COC[C@H]1C(=O)NCc2cnc(cn2)C,C90492292,P141527334
CCCc1nc(n(n1)CCS(=O)(=O)CC)N,C70043025,P107968249
CCCn1c(c(c(n1)C)CN2CCO[C@H](C2)C(=O)N)C,C92734868,P145147276
CC[NH+]1CCC(CC1)CNC(=O)c2nc([n-]n2)C3CC3,C95062813,P149063725
Cc1csc(n1)CO/N=C(\CN2CCOCC2)/N,C88520553,P138454306
CC(C)OC[C@H](c1[nH]ncn1)N,C86525869,P135471789
CCOCc1nc(on1)[C@@H]([C@@H](C)O)N,C84062144,P131528338
CCCn1cnnc1[C@@H]([C@@H](C)O)N,C54497950,P82014481
C[C@H]([C@H](CN1C(=O)COCC1=O)N)O,C70648356,P108996900
CNC(=O)CN1C(=O)CC[C@H](C1=O)N,C84386733,P132041278
c1c[nH]nc1CNC2CC(C2)[NH3+],C87651738,P137104621
C1[C@H]([C@@H]([C@@H](C[NH2+]1)O)O)CO,C06361554,P09974411
Cc1nnc(n1N)SCC[NH3+],C20396716,P30385935
C1CC1N2CC[C@](C2)(C[NH3+])N,C61990233,P95108695
Cc1csc(n1)/C=C\c2ccc(cc2)Br,C33469851,P153305144
c1cc2c(cc1F)C[C@H](O2)CI,C85538615,P133878329
c1ccc(c(c1)c2nc(cs2)Br)F,C44119815,P66653875
Cc1c(nc(nc1Cl)C)c2ccc(cc2F)F,C88675218,P138696429
c1cc(sc1[C@@H](c2ccoc2)Br)Cl,C40284944,P61150195
CN(C)CCn1c(c(cn1)OC)[C@H](c2c[nH]nc2N)NN,C97556803,P154623702
C[C@H](C(=O)N)NC(=O)C1=C[C@H]([C@H]([C@@H](C1)O)O)NC(=O)C[NH2+]C,C03838821,P04500259
C[C@@H](C(=O)N[C@@H]1C=C(C[C@H]([C@@H]1O)O)C(=O)N[C@@H](CCS(=O)(=O)C)C(=O)N)[NH2+]C,C04221596,P12496980
Cn1cc(c(n1)C(=O)N(CC(=O)N)CC(=O)N)N,C87871232,P137445053
[H]/N=C(/N)\N/N=C/C(=N/NC(=[NH2+])N)/CCCOCC,C75261106,P117184045
C[C@H](CC#N)NCCO,C37871416,P56882581
C1[C@H](CN[C@@H]1C=O)N,C72266177,P112297710
C#CC[C@H](CN)O,C84991357,P133024169
C1COCC(CO1)N,C78210637,P121970733
C#CC[C@@H](c1ccoc1)N,C69946552,P107815042
c1conc1C(=O)Nc2c(cn[nH]2)N,C87419063,P136757904
C1C(CN1Cc2nc(nc(n2)N)N)O,C70839772,P109316274
C1C[C@H]([C@H](C1)[NH3+])C(=O)N[C@@H]2CON=C2[O-],C86482649,P135398177
c1cc2c([nH]c(n2)C(=O)NN)nc1,C44550838,P67235909
C1C[C@H](Cc2c1[nH+]c(nc2N)N)C(=O)[O-],C31623600,P141679599
c1ccc(cc1)/N=C(/N/N=C\c2ccco2)\[S-],C19300929,P85116940
C[C@]1(CC[C@@H](C1(C)C)C(=O)NC2CCCCC2)C(=O)[O-],C38152612,P57461221
c1cc(nc(c1)Nc2cc(ccc2F)Cl)C(=O)[O-],C51042723,P76418962
Cc1c(c([nH]n1)c2ccc(cc2)C(C)(C)C)C(=O)[O-],C49847151,P133402730
